root_id,type
720575941351768112,R7
720575941352726832,T5c
720575941352896816,Mi9
720575941353103920,Mi1
720575941353211440,Mi1
720575941353391152,Mi1
720575941353395760,Mi1
720575941353408304,T5c
720575941353748784,T5c
720575941353872688,Tm20
720575941353977648,Mi1
720575941354012720,Dm6
720575941354040368,L2
720575941354048304,Mi1
720575941354274608,L3
720575941354315312,Tm20
720575941354323760,Tm20
720575941354408496,T4c
720575941354418992,T4c
720575941391403926,T5a
720575941392074134,L1
720575941392691862,LLPt
720575941392706564,T5b
720575941392706820,LPi09
720575941392847364,Mi1
720575941392975620,Pm01
720575941393045508,Mi9
720575941393081604,T5b
720575941393117956,T1
720575941393334788,Mi1
720575941393471382,Mi9
720575941393740438,L5
720575941393747606,Tm9
720575941393762052,T5c
720575941393826966,L5
720575941393830550,T5b
720575941393912324,T5b
720575941393930390,T4c
720575941393946116,T4c
720575941393978372,T4c
720575941393992196,T5c
720575941393995414,T4c
720575941394007958,T4c
720575941394016150,Tm9
720575941394050454,T4c
720575941394054806,T5c
720575941394059670,T5b
720575941394100374,C3
720575941394191620,Mi1
720575941394245380,T5c
720575941394248964,Tm20
720575941394407062,LPi09
720575941394542230,L2
720575941394586262,L5
720575941394675862,Tm9
720575941394678166,L2
720575941394694038,T4c
720575941394758038,TmY14
720575941394791318,Tm9
720575941394879126,L2
720575941394914454,Mi1
720575941394930070,Tm9
720575941395043478,T5c
720575941395076246,Li11
720575941400332579,T5c
720575941400344867,Li05
720575941401624099,L2
720575941402098723,Mi1
720575941402135075,T4c
720575941402204195,Pm01
720575941402312227,Tm20
720575941402338595,Dm3v
720575941402373155,T4c
720575941402393123,Tm9
720575941402405923,T1
720575941402513776,Li17
720575941402583843,Mi4
720575941402619939,T5b
720575941402679920,T5a
720575941402773283,Tm9
720575941402933283,T5c
720575941402987043,R7
720575941403054627,L1
720575941403203107,T5c
720575941403248931,L1
720575941403253795,Mi1
720575941403259939,Dm6
720575941403284003,Li17
720575941403290403,Tm27
720575941403292707,Dm15
720575941403369507,T5c
720575941403410979,Pm01
720575941403412515,LMa2
720575941404657520,T4c
720575941404995696,Tm20
720575941404996976,L1
720575941405119600,Tm9
720575941405228656,T5c
720575941405456752,Tm20
720575941405616752,Tm9
720575941405696880,Mi1
720575941405770352,T1
720575941405820528,R7
720575941405839984,T4c
