root_id,supervoxel_id,position
720575941071734516,73466275531816516,"[41447, 39799, 3784]"
720575941076956631,73466343848597979,"[42139, 41606, 2236]"
720575941351173168,73185281255463390,"[34230, 53762, 2356]"
720575941351226160,73817706666961703,"[52467, 28362, 2596]"
720575941351300144,74029430837898953,"[57881, 45446, 639]"
720575941351350576,73676900392257895,"[49064, 25118, 2437]"
720575941351371824,73676969178890838,"[47442, 27277, 2714]"
720575941351388720,73958513009258334,"[56300, 28897, 3202]"
720575941351429936,74029018722653401,"[57493, 33524, 1434]"
720575941351441200,74028813101254677,"[58668, 26671, 3535]"
720575941351505200,74169756277739481,"[63193, 34501, 1543]"
720575941351621168,73326086993488476,"[37520, 56016, 703]"
720575941351665712,73606531245364997,"[46445, 26247, 971]"
720575941351676720,73747818489735001,"[50088, 41046, 958]"
720575941351839280,73958100893436741,"[56189, 16548, 3855]"
720575941352344368,73536918482652678,"[43010, 48387, 1174]"
720575941352358960,73607081269619114,"[46416, 42105, 1898]"
720575941352372528,73395768811831797,"[39027, 36447, 1747]"
720575941352401456,73254962805184937,"[36317, 33036, 2468]"
720575941352411440,73395631574053410,"[39992, 32024, 2464]"
720575941352458800,74169550857747300,"[61975, 28340, 4453]"
720575941352632368,73325538042947829,"[37221, 39766, 3611]"
720575941352647728,73396044159547409,"[39730, 43134, 3556]"
720575941352668208,73255237683316860,"[35550, 42626, 2545]"
720575941352670768,73185006512087156,"[34324, 45634, 2975]"
720575941352676144,74381069004379280,"[68144, 40145, 2876]"
720575941352755504,73395906384439900,"[39712, 39810, 2063]"
720575941352775984,73395425147214193,"[40004, 25663, 1459]"
720575941352782640,73255718451006864,"[36768, 56652, 1447]"
720575941352828464,73747544484241006,"[49491, 34065, 4276]"
720575941352911664,73818049862158611,"[51350, 37387, 1246]"
720575941353013040,74099250161768210,"[61286, 29753, 1815]"
720575941353138736,73536574818443472,"[44485, 38276, 1018]"
720575941353641520,73043650413818589,"[30100, 27106, 2326]"
720575941353766448,74028812564419475,"[57940, 27935, 1487]"
720575941354087728,73465862744897934,"[42840, 27990, 1891]"
720575941354119216,73959062161364703,"[56930, 46992, 1002]"
720575941354122544,74733256255734052,"[78733, 51140, 2695]"
720575941354149168,73607493385352021,"[46431, 53399, 1198]"
720575941354177584,73466069373399271,"[41872, 33589, 3800]"
720575941354226736,74028881887687212,"[58576, 29491, 3728]"
720575941354230576,73395837665349665,"[40771, 37073, 2189]"
720575941354232880,73958718630854982,"[57333, 35377, 1177]"
720575941354244912,73958650783494371,"[57193, 33014, 4397]"
720575941354251568,73466755829543559,"[41888, 55262, 834]"
720575941354265392,73817638082129304,"[51501, 24721, 3275]"
720575941391104516,74522424700046957,"[71977, 59336, 2016]"
720575941391151108,74239850479658367,"[64692, 25263, 2863]"
720575941391464598,73888487325441028,"[54970, 39287, 1105]"
720575941391514006,74240125022283316,"[63513, 34556, 1676]"
720575941391550358,73395837665715776,"[38919, 37872, 2298]"
720575941391551748,73536574683715551,"[44480, 38736, 304]"
720575941391563012,73958993441870181,"[55451, 43871, 997]"
720575941391653526,73888213185796543,"[53287, 30916, 3944]"
720575941391655318,73747269471771295,"[50749, 26324, 3642]"
720575941391692438,73888075746818418,"[54472, 26916, 3932]"
720575941391706774,73747475831611007,"[51169, 30825, 4438]"
720575941391731606,74240606729518127,"[63962, 49061, 4169]"
720575941391758742,73888006557951744,"[55232, 25702, 2273]"
720575941392018582,73747749837502186,"[49632, 39227, 1260]"
720575941392238852,73466343714235841,"[41689, 41901, 1673]"
720575941392358660,73254894421062900,"[35594, 31574, 3678]"
720575941392382724,73185212268025590,"[33974, 51566, 1510]"
720575941392527108,73677106684876624,"[47438, 30960, 2940]"
720575941392587780,73044474779148034,"[29279, 51975, 1315]"
720575941392650756,74100006277920002,"[61404, 52857, 2795]"
720575941392663556,73396112207559377,"[38962, 46012, 865]"
720575941392892310,73395769214291290,"[39888, 35940, 3211]"
720575941392967318,73396112207701137,"[39248, 45331, 921]"
720575941392971670,73185280987079254,"[34375, 53846, 1345]"
720575941392986006,73396043421236481,"[39195, 43468, 713]"
720575941393062806,73184594396832931,"[32955, 33097, 3835]"
720575941393070486,73255306671157897,"[36310, 43190, 3555]"
720575941393284502,73395493933675133,"[39203, 26651, 1658]"
720575941393528836,73466480817449012,"[42409, 45596, 323]"
720575941393544708,73254893682842399,"[35481, 31528, 851]"
720575941393769220,73114912243229863,"[31515, 53920, 1470]"
720575941393850372,73255374920871862,"[35890, 45723, 1759]"
720575941393854980,74381343815671085,"[68404, 47859, 2789]"
720575941393863172,74733324773848759,"[79120, 52926, 1908]"
720575941393896196,73958444222977709,"[57146, 27569, 3061]"
720575941394045188,73958444356530745,"[55822, 27170, 3342]"
720575941394185878,73536368659895899,"[43828, 31514, 993]"
720575941394208406,73325056939750116,"[37781, 25006, 3448]"
720575941394283158,73466137555944485,"[42504, 34828, 1723]"
720575941394405270,73817775856702609,"[52054, 29875, 4584]"
720575941394718102,74099456185949353,"[60035, 36837, 1299]"
720575941394730646,73325057006687600,"[37668, 24769, 3634]"
720575941394731158,74239850547326172,"[65334, 24577, 3312]"
720575941394793366,74380862913068091,"[69170, 33041, 3141]"
720575941394820758,73818049794543297,"[51527, 38692, 800]"
720575941394829462,73677244526306509,"[48928, 36433, 4412]"
720575941394836374,73676900727591723,"[48911, 25973, 3636]"
720575941394884246,73536300745778968,"[44751, 28694, 4070]"
720575941394937750,73184525072914038,"[32997, 31117, 1368]"
720575941399984419,74099250363502793,"[61094, 28769, 2740]"
720575941400029219,74451643840010455,"[71566, 46618, 2663]"
720575941400071459,73747338124242994,"[49414, 27760, 3427]"
720575941400072739,73536162702538457,"[44688, 25611, 1648]"
720575941400683299,73536369330664291,"[43518, 31482, 3419]"
720575941401218339,73325538043550974,"[37974, 40005, 3825]"
720575941401303587,73255237616133731,"[36727, 41400, 2267]"
720575941401481578,73466274659481027,"[41574, 39217, 497]"
720575941401510691,73044337541759585,"[28937, 49140, 2159]"
720575941401511715,73817775185560114,"[51695, 29484, 2001]"
720575941401516067,73466137757065953,"[42302, 34945, 2427]"
720575941401518115,73255649932635638,"[35140, 54780, 2130]"
720575941401522467,73184937591471587,"[34426, 44269, 2281]"
720575941402478115,73043856438391717,"[30622, 33141, 1938]"
720575941402521123,73254687591859468,"[35801, 25639, 1224]"
720575941402542371,73395356561640868,"[40558, 22946, 1848]"
720575941402566435,73817569630573423,"[52941, 23995, 4103]"
720575941402602528,73255649798420993,"[34856, 53796, 1620]"
720575941402608163,73818462044218210,"[52447, 49212, 527]"
720575941402612771,73677038367796371,"[48792, 28771, 4379]"
720575941402702115,73254825164277786,"[35254, 28717, 1543]"
720575941402874403,74592381194486614,"[75373, 45691, 2269]"
720575941402897699,74169412882062998,"[61767, 24427, 2446]"
720575941402962288,74099181979715597,"[61049, 27268, 4068]"
720575941403016995,73325537842208289,"[37067, 39404, 3052]"
720575941403023651,73255375323244512,"[34968, 45321, 3192]"
720575941403051632,74169550455091190,"[63486, 27488, 2913]"
720575941403063843,74099799716715282,"[60916, 45062, 1218]"
720575941403121948,73958649844382632,"[57031, 34636, 957]"
720575941403122800,73536025532160170,"[44516, 22431, 2727]"
