root_id,type
720575941353268016,MeMe_e02
720575941393242628,DNp30
720575941412665515,MeMe_e02
720575941412777899,OA-AL2b1
720575941414029935,MeMe_e08
720575941415758737,MeMe_e08
720575941425611860,MeMe_e04
720575941433486551,MeMe_e08
720575941436718990,OA-ASM1
720575941437676064,OA-AL2b2
720575941438499116,MeMe_e02
720575941440816703,l-LNv
720575941441527893,MeMe_e02
720575941446483988,LT54
720575941450881205,MeMe_e01
720575941451420253,MeMe_e03
720575941454603689,DNp27
720575941455429171,LT44a
720575941460411888,MeLp1
720575941460655519,OA-AL2b2
720575941471360477,aMe10
720575941472649591,l-LNv
720575941473976106,aMe19a
720575941478016561,AN09A005
720575941478522673,MeMe_e07
720575941478543134,MeMe_e08
720575941479835242,l-LNv
720575941481165186,cL19
720575941482034818,aMe10
720575941492184270,
720575941494710960,MeMe_e05
720575941496511614,MeMe_e08
720575941496529278,MeMe_e02
720575941499964385,DNp30
720575941505207895,PS131
720575941506834757,MeMe_e08
720575941508561687,OA-AL2b2
720575941509455650,MeMe_e02
720575941509783902,MeMe_e07
720575941515305937,MeMe_e11
720575941517362275,MeMe_e03
720575941520079788,MeMe_e04
720575941520911320,MeMe_e02
720575941523232247,aMe10
720575941525843019,MeMe_e07
720575941528386818,OA-ASM1
720575941536728810,MeMe_e02
720575941536831210,OA-ASM1
720575941537266881,l-LNv
720575941537547969,aMe19a
720575941538059034,OA-AL2b2
720575941539117283,MTe47
720575941541572813,MeMe_e02
720575941541880445,MTe07
720575941544492317,
720575941548292744,aMe10
720575941548580788,l-LNv
720575941549451400,LC9
720575941551561332,
720575941554725511,MeMe_e02
720575941556599553,MTe47
720575941559609636,LT66
720575941566709911,MTe46
720575941573570206,LC14a2
720575941575727099,MeMe_e06
720575941576786063,
720575941577267560,MeMe_e04
720575941577291112,MeMe_e04
720575941577532520,MeMe_e07
720575941581300305,5-HTPMPV03
720575941585987423,5-HTPMPV03
720575941587166854,MeMe_e07
720575941591318071,OA-ASM1
720575941592190504,LT55
720575941592811404,DNp27
720575941594749291,MeMe_e05
720575941604889017,MeLp1
720575941611402570,aMe10
720575941612079590,MeMe_e06
720575941613131181,
720575941613618790,LT55
720575941615823379,
720575941620258431,LT66
720575941621595007,OA-AL2b1
720575941626892746,cL17
720575941629623865,cL17
720575941634291397,MTe01b
720575941634953403,
720575941638963573,LPT57
720575941640450933,MeMe_e08
720575941642096415,MTe47
720575941644896357,cM19
720575941646079649,l-LNv
720575941646496888,aMe19b
720575941646792904,
720575941656498900,PLP210
720575941659987536,MeMe_e02
720575941660516944,LT54
720575941660696656,l-LNv
720575941660724560,MeMe_e11
720575941665028220,aMe19b
720575941668229875,MeMe_e04
720575941671402417,MeMe_e08
720575941689642508,
720575941689857804,MTe47
720575941690045452,l-LNv
720575941692074971,
720575941734153259,MTe46
