root_id,supervoxel_id,position,type,is_fafb_ol_type,confidence
720575941353201200,78040381006380318,"[174899, 43873, 2364]",LCe02,True,low
720575941353286704,77899643384432393,"[170591, 43907, 2047]",,False,
720575941353292592,79166349297193181,"[207413, 45788, 1102]",,False,
720575941353361200,78391880727470150,"[186180, 33561, 916]",,False,
720575941353521456,77759455651694725,"[167396, 60938, 2023]",,False,
720575941353653808,78111024963867672,"[176908, 53056, 3611]",LPC1,True,
720575941353902384,78462936800907966,"[186957, 54106, 1522]",LPC1,True,
720575941354022704,77829137200939107,"[169284, 39573, 1960]",LC17,True,
720575941354190128,78110131342816060,"[178010, 26299, 2789]",,False,
720575941354279216,76984918764842224,"[145309, 46807, 3260]",PLP014,False,low
720575941354281776,75576650124933358,"[103556, 18615, 1747]",DNc01,True,
720575941354319408,78462936867822221,"[186396, 54197, 1717]",LPC1,True,
720575941390723076,77196025064446237,"[151085, 46573, 3495]",cLP03,True,
720575941391304452,79376836785649086,"[213044, 27337, 174]",,False,
720575941391387030,78321993624003725,"[183854, 48433, 3324]",LLPC2,True,
720575941391402500,77970080915022698,"[173310, 46014, 2283]",LC12,True,
720575941392691862,77618374700036922,"[161878, 49369, 2480]",LLPt,True,
720575941392728068,77688880883522062,"[165616, 53306, 2552]",LC15,True,
720575941393072790,77758768725240035,"[167826, 40043, 2998]",LC17,True,
720575941393183382,77970081182966023,"[172692, 45859, 3109]",LC12,True,
720575941393241604,77829206322677296,"[168592, 41585, 3352]",,False,
720575941393344918,79728405762991609,"[224830, 18902, 589]",,False,
720575941393550596,78110818336024932,"[177957, 45634, 1932]",LPLC4,True,
720575941393573270,77547937169336167,"[160429, 48291, 2246]",,False,
720575941393710084,78040587500871875,"[175343, 49997, 3832]",LPLC1,True,
720575941393741828,78673905795206144,"[192868, 50917, 2077]",,False,
720575941393874692,78250731593789230,"[182252, 21834, 3571]",,False,
720575941393877654,78180912000880429,"[179951, 38648, 1140]",,False,
720575941393887492,78110337702250322,"[176290, 32487, 3435]",,False,
720575941393890820,77900193072513603,"[170995, 60314, 1604]",LLPC3,True,
720575941393899524,77829480999651613,"[169682, 50466, 2717]",LC15,True,
720575941393914116,77688606072354291,"[165761, 46563, 2738]",,False,
720575941394119428,78532412392741337,"[188755, 27278, 2123]",MTe01b,True,
720575941394181892,77196299741202924,"[149760, 53771, 2795]",LPT31,True,
720575941394216196,77829000231908335,"[168630, 36775, 3809]",,False,
720575941394243076,77336624979281279,"[155534, 42890, 2855]",LC4,True,
720575941394244100,78321305959083458,"[182869, 28513, 1435]",,False,
720575941394561686,78039968890947989,"[174457, 32629, 3178]",LPLC4,True,
720575941394603926,78180774629155205,"[178842, 33096, 1438]",,False,
720575941394630806,77969737451511375,"[173104, 35713, 2672]",LC10c,True,
720575941394733718,77899574999992181,"[170950, 42426, 3184]",,False,
720575941394966422,77758837511940929,"[167673, 41725, 3296]",LT64,True,
720575941394997654,78743655929892311,"[195508, 31056, 1576]",MTe33,True,
720575941395056534,78321237977803065,"[183386, 25714, 4252]",,False,
720575941401576739,79306674602538447,"[212505, 33219, 1536]",,False,
720575941401994275,77407268668799026,"[157667, 50794, 3225]",LC39,True,
720575941402165795,79376700219370904,"[214241, 23996, 3358]",,False,
720575941402310947,79306193835069436,"[212986, 19867, 2654]",,False,
720575941402677360,77618443486833874,"[162951, 52548, 2807]",cLP02,True,
720575941402814755,77829618572454388,"[169132, 54260, 3096]",LC12,True,
720575941402835491,77688468499292044,"[165573, 41590, 2251]",LC10c,True,
720575941402905891,78462181288675424,"[186558, 32712, 2847]",LPLC2,True,
720575941402926371,77899781158743087,"[171036, 48793, 3296]",LPLC2,True,
720575941403116579,78181049775505280,"[178354, 41870, 2454]",LC17,True,
720575941403229731,78462799629616366,"[186871, 50667, 2304]",LPC1,True,
720575941403327523,77759249627462596,"[167211, 54396, 2514]",LC21,True,
720575941403335715,77829206255938333,"[169767, 42761, 3234]",LC10c,True,
720575941403348259,78181049909686391,"[179154, 41861, 2963]",LC11,True,
720575941404804976,77970150036556009,"[172867, 48649, 3592]",LC12,True,
720575941405094000,77970218420876235,"[173613, 50192, 2450]",LC18,True,
720575941405241968,78744342990554696,"[196379, 52321, 1099]",,False,
720575941405564528,79447205664986954,"[216076, 28535, 762]",,False,
720575941405568624,79377111999917381,"[213256, 35554, 1526]",,False,
720575941405651568,77899437695114207,"[170428, 38799, 3642]",,False,
720575941405694576,77688606005379511,"[165344, 46061, 2527]",LT51,True,
720575941405747568,77548143260682261,"[161633, 54201, 2014]",LPLC1,True,
720575941405757296,79588011939197197,"[219359, 29877, 780]",,False,
720575941405801328,79447068292602254,"[216148, 24304, 862]",,False,
720575941405820528,79517574609853885,"[218184, 26738, 1343]",R7,True,
720575941406121584,79939855659937821,"[229552, 29056, 875]",,False,
720575941406233968,77899918596933040,"[170102, 51834, 3079]",LPLC4,True,
720575941406246256,77618374699984645,"[162591, 50655, 2463]",,False,
720575941406288752,76140631541618145,"[118830, 50028, 4112]",cLPL01,True,
720575941406558382,77196299807966659,"[150463, 53936, 2926]",cLP01,True,
720575941407512494,79165730956125551,"[208614, 28022, 1605]",L1,True,
720575941407910574,77969737720261270,"[173138, 34929, 3825]",LC13,True,
720575941407925039,77617962517227497,"[163616, 37936, 2927]",LC17,True,
720575941408213551,78532824843875203,"[189558, 40791, 2651]",LLPC1,True,
720575941408343855,78251281281921615,"[181443, 37487, 3180]",LC18,True,
720575941408500398,77336762619733181,"[155580, 46572, 3693]",LTe38b,True,
720575941408834351,77899368908575164,"[171616, 35291, 3415]",LC10d,True,
720575941409079723,77758906096794957,"[166302, 43935, 2635]",LC16,True,
720575941409283631,78602781271565399,"[190803, 27879, 2786]",,False,
720575941409437614,78814230900102146,"[197045, 37766, 2010]",,False,
720575941409720111,78181324921531114,"[178335, 51148, 3362]",,False,
720575941409771055,79306331005863506,"[212749, 24510, 1732]",,False,
720575941409801131,77758837176337248,"[167150, 42817, 1986]",LC17,True,
720575941409903531,78110543726680982,"[176537, 38143, 3008]",LC9,True,
720575941409949999,79447068292791590,"[215838, 23380, 933]",L1,True,
720575941409961263,79236168688668113,"[210934, 28932, 2802]",,False,
720575941410037166,79376493792488834,"[213794, 16863, 2366]",,False,
720575941410087727,79869074464608403,"[227585, 16694, 403]",L1,True,
720575941410099759,78040174915368376,"[176127, 37012, 2738]",LC17,True,
720575941410147119,78321512184216370,"[182586, 34760, 1546]",MTe51,True,
720575941410174767,77969875158788759,"[173787, 39712, 3661]",LC6,True,
720575941410192175,75788306382231808,"[110516, 36847, 2740]",VES015,False,low
720575941410484847,77477705998325628,"[159458, 51667, 2753]",cLP02,True,
720575941410652271,77899643786447195,"[170663, 44261, 3391]",LC13,True,
720575941411219115,78321444203076930,"[183028, 30926, 4414]",,False,
720575941411344811,78744068380910516,"[195314, 44698, 2052]",LLPC1,True,
720575941411505323,79236237005306207,"[210031, 31639, 1195]",L1,True,
720575941411560363,77688606072099092,"[165043, 47094, 2646]",LC45,True,
720575941411571115,77899643719533618,"[170492, 43681, 3206]",,False,
