root_id,type
720575941351407664,LLPC2
720575941351438384,T4b
720575941351655984,T4b
720575941352187184,MTe01a
720575941352544304,Tm9
720575941352965936,cLP02
720575941352972080,LPLC1
720575941353112880,LC31b
720575941353115440,MTe04
720575941353136176,
720575941353632048,R8
720575941353728816,L1
720575941353883184,R7
720575941353964336,LLPC3
720575941354045232,
720575941354092336,Li124_56
720575941354132528,
720575941354171696,LT63
720575941354177072,LTe47
720575941354230832,MeTu3a
720575941354249776,MeTu1
720575941390510486,LC16
720575941391048964,
720575941391084804,LC18
720575941391106308,MC62
720575941391170052,LC12
720575941391186436,LC12
720575941391216022,LC12
720575941391226116,T5d
720575941391229188,T4d
720575941391464196,LC10d
720575941391555990,MTe52
720575941391645846,LC9
720575941391786646,LC12
720575941392220932,LCe04
720575941392306582,T4a
720575941392509188,T1
720575941392877718,CB1329
720575941392903684,LLPC2
720575941392986884,cL01
720575941393437188,R8
720575941393496324,R8
720575941393544196,R7
720575941393557142,LC40
720575941393558532,R8
720575941393575940,
720575941393617302,LC27
720575941393653142,MTe01b
720575941393852420,LPLC1
720575941393856662,MLt1
720575941393893380,LC17
720575941393897220,LC35
720575941394196886,L3
720575941394197654,R7
720575941394197910,R8
720575941394199702,L3
720575941394345622,L3
720575941394729366,LTe73
720575941394731414,TmY14
720575941394835094,
720575941395018134,LC12
720575941395035286,LPC2
720575941400072227,
720575941400143907,C2
720575941400228643,LC10d
720575941400654883,R8
720575941401204515,MeTu1
720575941401477226,R8
720575941401477667,
720575941401480298,R8
720575941401481066,R8
720575941401481834,R8
720575941401485674,R7
720575941401508131,LC21
720575941401518371,C2
720575941401592099,L3
720575941401613091,LC6
720575941401664803,L2
720575941401733667,L3
720575941401905955,LC43
720575941402030115,LC26
720575941402073635,LC11
720575941402410352,LC12
720575941402489635,R8
720575941402531107,R8
720575941402533155,R7
720575941402542627,R7
720575941402595107,
720575941402595875,R8
720575941402598435,R8
720575941402598947,L3
720575941402622499,R8
720575941402663971,R7
720575941402692899,L3
720575941402940707,LTe58
720575941403021680,LLPC2
720575941403052912,LC9
720575941403058800,LC17
720575941403059056,LC31a
720575941403071088,LC10a
720575941403106416,LC12
720575941403107952,LC16
720575941403161891,LC16
720575941403224355,Mi15
720575941403317104,LC10c
720575941404453232,
720575941404906096,LC17
720575941405383024,R7
720575941405416560,R8
720575941405419376,R8
720575941405659760,LC17
720575941405824880,
720575941406020976,LC21
720575941406063216,LC19
720575941406570543,LC10d
720575941406593071,LC11
720575941406606127,LLPC3
720575941406609967,MTe50
720575941406692399,LPLC1
720575941406724526,LC9
720575941406768302,LC10a
720575941406774190,LC17
720575941406852143,
720575941406912430,LPLC1
720575941407043887,T4d
720575941407174959,LC11
720575941407212847,
720575941407320238,LC17
720575941407923630,C2
720575941407978031,LC10c
720575941408101679,C2
720575941408133038,C2
720575941408150063,Tm20
720575941408207278,Tm1
720575941408279726,L3
720575941408310575,LLPt
720575941408409135,LC10d
720575941408439599,LC10a
720575941408443183,C2
720575941408534319,LC17
720575941408546351,R8
720575941408582574,Tm3
720575941408671791,LC10a
720575941408690094,LC10e
720575941408758955,cLP02
720575941408845871,LC10a
720575941409063595,LC9
720575941409200043,LPLC1
720575941409270831,R8
720575941409299118,R8
720575941409309099,T5d
720575941409322799,L4
720575941409325615,R7
720575941409364271,R7
720575941409381935,L1
720575941409396142,L5
720575941409396398,L1
720575941409478447,Mi1
720575941409498030,LC28b
720575941409784750,LC4
720575941409788846,LC31a
720575941409797167,LC12
720575941409858478,LC17
720575941409868974,LLPt
720575941409892399,
720575941409921071,LC15
720575941409932079,LC10a
720575941410056751,LT40
720575941410371755,cLP03
720575941410742895,T5d
720575941410860399,LC17
720575941410862703,MTe51
720575941410907759,LPC1
720575941410915951,LC18
720575941410921387,LC13
720575941410923119,MTe50
720575941411046767,LC13
720575941411053227,L3
720575941411073135,
720575941411076975,LC11
720575941411085995,Mi15
720575941411102891,R7
720575941411347115,LC21
720575941411357355,LT77
720575941411371691,LC10a
720575941411607953,LPC1
720575941411955883,R7
720575941412150187,LC24
720575941412226219,LC10
720575941412294255,LMa5
720575941412371115,LPLC2
720575941412385451,R8
720575941412484523,
720575941412562859,LC22
720575941412568209,
720575941412575889,T4b
720575941412581487,LPC1
720575941412586411,LC10c
720575941412597140,LC12
720575941412622191,LC15
720575941412731028,LC27
720575941412761967,R8
720575941412800404,T4d
720575941412803183,LC11
720575941412805035,LPLC2
720575941413247855,LT53
720575941413256303,R8
720575941413290388,LC12
720575941413327983,L3
720575941413332847,L3
720575941413499503,LPLC4
720575941413646481,LPLC2
720575941413686161,cM09
720575941413713775,LCe04
720575941413773201,
720575941413786223,LC10d
720575941413828719,
720575941413839215,cM03
720575941413877103,MTe13
720575941413923729,LC16
720575941413972628,MTe04
720575941413978735,Mi15
720575941414000276,LC21
720575941414114452,
720575941414279316,LC9
720575941414380948,L5
720575941414507665,LC11
720575941414616980,LT51
720575941414630428,T4d
720575941414665876,LC6
720575941414683284,R7
720575941414742676,LLPC1
720575941414784540,LC10c
720575941414785564,LC12
720575941414838044,Y4
720575941414935836,LLPt
720575941414964369,R7
720575941414990225,L3
720575941414992412,
720575941415077777,R8
720575941415173660,C2
720575941415189652,L3
720575941415192604,LC31a
720575941415270801,LTe53
720575941415284628,R8
720575941415332124,LC9
720575941415357588,R8
720575941415363100,C2
720575941415365009,
720575941415441044,MTe10
720575941415488916,LLPC3
720575941415533969,LC11
720575941415593361,
720575941415623316,LTe23
720575941415654548,Tm3
720575941415655828,LC21
720575941415657108,
720575941415800724,LC10a
720575941415805588,MTe06
720575941415883804,LC10a
720575941416164892,L3
720575941416353308,
720575941416464412,LC4
720575941416709404,LPLC2
720575941416758044,LC15
720575941416849692,Nod1
720575941416877596,VES080
720575941416946972,Tm20
720575941417273884,R7
720575941417283100,R7
720575941417289500,R8
720575941417291804,R7
720575941417323292,R7
720575941417325852,MTe01a
720575941417368860,R8
720575941417395228,R8
720575941417455388,L5
720575941417488924,LC29
720575941417503260,LC10a
720575941417773596,
720575941417850396,LT76
720575941417923356,LT1
720575941417936924,
720575941425414228,cLP02
720575941425755732,LPC1
720575941425846612,LLPC3
720575941426067540,LLPC1
720575941426101076,cM04
720575941426110036,Tm4
720575941426112596,Tm2
720575941426122068,
720575941426404692,LPLC1
720575941426485076,C2
720575941427087444,
720575941427373140,C2
720575941427441492,LC9
720575941427833684,LC10c
720575941428464724,R7
720575941428503636,L5
720575941428556372,R8
720575941428620884,
720575941428641108,SAD014
720575941428670968,cLP01
720575941428715695,LC4
720575941428748681,LC4
720575941428965972,MeTu1
720575941428980472,cLP01
720575941429062831,LC9
720575941429143945,LC4
720575941429187247,LC12
720575941429258671,LC18
720575941429261487,LC18
720575941429265400,LPC1
720575941429294985,LC18
720575941429311224,LC17
720575941429345711,LC26
720575941429366409,cLP01
720575941429376905,T4d
720575941429380489,C2
720575941429392120,
720575941429410953,T5a
720575941429418671,LC15
720575941429466616,cM04
720575941429518255,LC12
720575941429537967,LPC1
720575941429552009,MTe04
720575941429767343,LPLC4
720575941429804536,
720575941429813897,
720575941429894103,LC12
720575941429942959,C2
720575941430057976,LC26
720575941430121825,LPLC4
720575941430245217,LPLC4
720575941430258190,LC6
720575941430301103,LC29
720575941430303841,LCe02
720575941430323809,LPC1
720575941430334167,LPC1
720575941430543831,L4
720575941430655113,Mi15
720575941430676984,LC10a
720575941430796937,LPC1
720575941430830328,Lawf1
720575941430891000,LC10a
720575941430940152,C2
720575941430961327,R7
720575941431081720,R7
720575941431152265,LC11
720575941431172015,LC18
720575941431191822,VS5
720575941431192334,LPC1
720575941431199329,LC9
720575941431233673,LC10a
720575941431250351,MTe52
720575941431257614,LPTe02
720575941431268193,aMe5
720575941431298318,LC12
720575941431311630,LC22
720575941431316911,LT57
