root_id,type
720575941409602863,
720575941410006190,MeMe_e13
720575941410102575,LPT50
720575941413614703,LC14
720575941433419479,
720575941453343098,MeLp2
720575941461559110,MeMe_e11
720575941462798803,LPT45_dCal1
720575941468284246,
720575941481854659,MeMe_e01
720575941485057466,
720575941498206080,LC14
720575941500445921,MeMe_e08
720575941503655307,LC14
720575941505031255,LC14b
720575941508473111,
720575941509155934,LC14b
720575941509660801,
720575941510100865,LC14a1
720575941512037648,MeMe_e07
720575941517234531,
720575941517517934,MeMe_e01
720575941518116499,
720575941520466604,MeMe_e11
720575941521480375,LC14a2
720575941532444107,MeMe_e01
720575941532721611,LC19
720575941536042328,
720575941536180658,MeMe_e07
720575941538019866,
720575941541603709,
720575941548020668,MeMe_e07
720575941554060350,MeMe_e02
720575941555476378,LC14
720575941557080833,MeMe_e10
720575941559579949,MeMe_e01
720575941561638382,MeMe_e13
720575941561684595,
720575941566294535,LC14a2
720575941566532962,
720575941567726134,
720575941576127496,
720575941577292392,MeMe_e10
720575941583199097,
720575941586001247,H1
720575941591232055,
720575941592134910,MeMe_e01
720575941594191144,
720575941605402358,LC14
720575941606222270,LPT45_dCal1
720575941612921321,MeMe_e12
720575941613008870,
720575941613465190,LC14b
720575941614335196,MeMe_e01
720575941615044572,MeMe_e07
720575941621318271,
720575941627125962,LC14b
720575941627278235,LPLC4
720575941627526043,MeMe_e12
720575941627580810,
720575941631080998,
720575941633390060,
720575941644812133,MeMe_e01
720575941646305953,
720575941646450040,LC14a1
720575941656447193,MeMe_e07
720575941660440856,
720575941660622672,
720575941734118443,MeMe_e01
