root_id,supervoxel_id,position,type,is_fafb_ol_type,confidence
720575941330393199,79377455462416478,"[214239, 46334, 775]",,False,
720575941351169840,79025062053116896,"[204660, 28936, 1123]",,False,
720575941351179824,78814230900182278,"[196625, 38378, 2041]",T4a,True,
720575941351768112,79095499315346586,"[206393, 31081, 327]",R7,True,
720575941352714288,78391950050763244,"[185115, 35100, 3165]",,False,
720575941352726832,78532962417159852,"[188669, 43414, 3212]",T5c,True,
720575941352734512,78111024427089918,"[177094, 51847, 1587]",,False,
720575941352757040,78884050290553192,"[199334, 21924, 3346]",,False,
720575941352778544,78040724670790016,"[175563, 54117, 2601]",T5b,True,
720575941352782384,79236786627004922,"[210863, 48103, 730]",,False,
720575941352896816,79236512285563072,"[210642, 39415, 2625]",Mi9,True,
720575941352911920,79447824341196280,"[216097, 46606, 1442]",Mi4,True,
720575941353064240,78743381119577087,"[195807, 23134, 1997]",Tm1,True,
720575941353103920,79236374980950517,"[209342, 35398, 3228]",Mi1,True,
720575941353210672,78602781673671064,"[192239, 26864, 4139]",Tm1,True,
720575941353211440,78673080960280025,"[193437, 24878, 1354]",Mi1,True,
720575941353225008,78250731391660809,"[180595, 22467, 2578]",,False,
720575941353248816,79447549262159823,"[215996, 37974, 723]",,False,
720575941353269040,78180912001262518,"[179218, 38124, 1274]",,False,
720575941353312560,78392361696694578,"[186343, 47386, 671]",,False,
720575941353313072,78603742806981094,"[191678, 55628, 637]",T4b,True,
720575941353389616,78461837825614479,"[186637, 21462, 3383]",Tm4,True,
720575941353391152,78673081564252616,"[194042, 24856, 3654]",Mi1,True,
720575941353395760,78391606721997303,"[184516, 25399, 4255]",Mi1,True,
720575941353397808,78110955640727652,"[176870, 50350, 1412]",T5d,True,
720575941353408304,78181187482994169,"[179923, 46318, 3525]",T5c,True,
720575941353418288,78884050290657360,"[199833, 22513, 3374]",,False,
720575941353420336,78251693330411096,"[181687, 50798, 2177]",T5a,True,
720575941353433136,78461974861932312,"[187883, 26604, 1855]",,False,
720575941353442096,78532618819611348,"[189332, 33470, 3160]",T4c,True,
720575941353443120,78603537185366537,"[191481, 51123, 2621]",T5a,True,
720575941353444144,78884737284070573,"[200070, 41355, 2606]",T4b,True,
720575941353457968,78532824777308855,"[189670, 39132, 2559]",T5d,True,
720575941353467696,78954419169012240,"[200864, 21760, 3867]",Mi9,True,
720575941353469488,79024925217847032,"[203483, 25382, 3338]",,False,
720575941353475632,78813818918857581,"[197592, 25722, 3308]",TmY3,True,
720575941353486896,78743313003531916,"[194716, 22321, 4146]",,False,
720575941353525808,78954762766765259,"[200803, 31447, 4013]",,False,
720575941353545776,78814299216964513,"[196984, 40110, 489]",Tm3,True,
720575941353658416,78743793570525873,"[194992, 35244, 2467]",T4c,True,
720575941353675568,78603468130283356,"[191598, 48122, 1334]",,False,
720575941353676080,79025199424696770,"[204654, 34472, 787]",,False,
720575941353682736,78603124667401650,"[191712, 37503, 1949]",,False,
720575941353725744,78884600046832572,"[198815, 36985, 3522]",Tm1,True,
720575941353738288,79095842845471316,"[206800, 41504, 181]",T1,True,
720575941353748784,78603811660908704,"[192145, 57639, 1200]",T5c,True,
720575941353754928,79095980352222040,"[205366, 45680, 505]",,False,
720575941353757232,79447755755835357,"[215180, 44745, 1907]",,False,
720575941353785136,79377524249142698,"[214430, 48839, 1081]",,False,
720575941353804592,79236031517863966,"[209285, 25888, 3706]",,False,
720575941353859376,79377249505605202,"[214841, 40573, 1641]",Mi10,True,
720575941353871664,79236099968706979,"[209416, 28433, 2609]",Tm2,True,
720575941353871920,78462044051452536,"[187474, 27344, 3750]",,False,
720575941353872688,79306949480924471,"[211970, 42493, 1661]",Tm20,True,
720575941353964592,77829137268246691,"[169093, 40892, 2280]",LCe01b,True,
720575941353974576,78392087489537090,"[185061, 39976, 3096]",T5c,True,
720575941353976880,79165662102658201,"[207101, 26334, 1183]",,False,
720575941353977648,79517780701256561,"[217685, 33135, 1115]",Mi1,True,
720575941353991216,78673699703991997,"[194277, 43772, 2366]",T5d,True,
720575941354012720,78814299216825383,"[198288, 39060, 435]",Dm6,True,
720575941354027312,78602575045713306,"[191808, 21245, 2422]",,False,
