root_id,supervoxel_id,position,type,is_fafb_ol_type
720575941071734516,73466275531816516,"[41447, 39799, 3784]",,False
720575941076956631,73466343848597979,"[42139, 41606, 2236]",,False
720575941351164208,73114500194730049,"[30833, 41178, 2460]",Dm2,True
720575941351169072,74029088046070816,"[58652, 35253, 3715]",T4c,True
720575941351170352,73536300074356111,"[44193, 28876, 1383]",Dm2,True
720575941351173168,73185281255463390,"[34230, 53762, 2356]",,False
720575941351173424,73818256288945564,"[51425, 43076, 2238]",T5b,True
720575941351174704,73254962805180390,"[34948, 33791, 2469]",Tm2,True
720575941351178288,73607218775421022,"[46835, 45082, 2072]",T4c,True
720575941351182640,73536300208903449,"[44751, 29031, 2026]",TmY3,True
720575941351183664,73395768945786657,"[40775, 34952, 2166]",Tm5f,True
720575941351188272,74099937356564201,"[59555, 50405, 1826]",T5b,True
720575941351189040,73748299928338236,"[49885, 55699, 2349]",LPi02,True
720575941351191344,73748024849429443,"[49678, 47197, 1706]",T4c,True
720575941351191856,74100006143094100,"[60221, 51709, 2065]",T5b,True
720575941351220784,74099044271913393,"[61049, 23128, 2895]",Tm21,True
720575941351226160,73817706666961703,"[52467, 28362, 2596]",,False
720575941351251248,74170169265948154,"[62904, 46359, 4191]",T5a,True
720575941351260208,74169687558393842,"[61587, 31578, 1582]",Dm3q,True
720575941351269936,74099937155686040,"[61226, 49797, 1226]",Pm01,True
720575941351300144,74029430837898953,"[57881, 45446, 639]",,False
720575941351323440,74029569015138440,"[57892, 50156, 3397]",T5a,True
720575941351325232,74170237180510920,"[61878, 47363, 1270]",T4b,True
720575941351347760,73536025666109240,"[43963, 22167, 3140]",Tm3,True
720575941351350576,73676900392257895,"[49064, 25118, 2437]",,False
720575941351357232,73817637947533809,"[51443, 26448, 2615]",Mi13,True
720575941351367984,74381000284994237,"[68499, 37025, 2909]",Li01,True
720575941351369520,74099937155686093,"[60375, 49805, 1230]",T4a,True
720575941351371824,73676969178890838,"[47442, 27277, 2714]",,False
720575941351384112,73748162758235353,"[50800, 52432, 3504]",T4d,True
720575941351387440,73888762807576176,"[54016, 47530, 3493]",T5a,True
720575941351388464,74170237918187344,"[61762, 47887, 3894]",T5c,True
720575941351388720,73958513009258334,"[56300, 28897, 3202]",,False
720575941351390512,74029019192435393,"[57814, 33565, 3232]",T4c,True
720575941351392048,73888350423267141,"[53718, 36460, 3121]",T4b,True
720575941351393840,74028744381275526,"[58515, 25918, 3346]",Dm2,True
720575941351394096,73888350490752153,"[55064, 36514, 3517]",T4a,True
720575941351399728,73888350356841004,"[53514, 35711, 3070]",T4b,True
720575941351408688,73817775185335505,"[51977, 30050, 1920]",Mi2,True
720575941351427888,73958375301851284,"[56316, 26302, 2167]",Dm3q,True
720575941351429936,74029018722653401,"[57493, 33524, 1434]",,False
720575941351431216,73817638417589442,"[52144, 24688, 4528]",Tm9,True
720575941351436336,73958375167946688,"[55467, 25273, 1779]",Dm10,True
720575941351441200,74028813101254677,"[58668, 26671, 3535]",,False
720575941351444272,74100212033010668,"[59984, 57552, 1111]",T4d,True
720575941351446576,73818324538228219,"[52646, 45738, 420]",Dm10,True
720575941351451184,74240881138154831,"[65315, 56664, 2550]",Y11,True
720575941351478064,73676900727705858,"[47626, 25785, 3683]",Mi9,True
720575941351504944,74169618906088269,"[63040, 30658, 1866]",Mi4,True
720575941351505200,74169756277739481,"[63193, 34501, 1543]",,False
720575941351511088,74240125156702946,"[65053, 33091, 2265]",Mi4,True
720575941351621168,73326086993488476,"[37520, 56016, 703]",,False
720575941351629104,73114499926188588,"[32727, 41223, 1398]",Dm3q,True
720575941351665712,73606531245364997,"[46445, 26247, 971]",,False
720575941351666224,73536231421718572,"[43023, 28443, 1546]",Mi9,True
720575941351676720,73747818489735001,"[50088, 41046, 958]",,False
720575941351681072,73678000037772397,"[47600, 57984, 2852]",T5a,True
720575941351686192,73607355677593033,"[45696, 51120, 220]",Tm9,True
720575941351688240,73395356360500838,"[40755, 23103, 1131]",Tm1,True
720575941351704624,74170100479653553,"[61603, 43859, 4050]",T5c,True
720575941351711024,73958444088287833,"[56409, 27061, 2378]",TmY3,True
720575941351711280,74099456521583429,"[59393, 35686, 2613]",T4a,True
720575941351717168,74099662948934642,"[59638, 42816, 3806]",T5b,True
720575941351775280,73044268956532922,"[28909, 45575, 2689]",TmY3,True
720575941351775792,73888693886350060,"[54562, 45488, 2586]",T5d,True
720575941351776560,73959062631031239,"[55693, 45350, 2766]",T5a,True
720575941351784496,73606874775665743,"[46671, 35360, 626]",T1,True
720575941351833904,73607150459114411,"[46563, 43741, 3803]",Y4,True
720575941351839280,73958100893436741,"[56189, 16548, 3855]",,False
720575941351882544,73114293901978149,"[32405, 35814, 1919]",Tm4,True
720575941351888688,73184731432972228,"[32817, 37344, 2260]",Mi4,True
720575941351902256,73818256422882796,"[52089, 44640, 2651]",Tm21,True
720575941352181040,74028606943151590,"[57477, 22205, 3576]",Tm4,True
720575941352320560,73254825701774147,"[35536, 29344, 3751]",Tm9,True
720575941352344368,73536918482652678,"[43010, 48387, 1174]",,False
720575941352358960,73607081269619114,"[46416, 42105, 1898]",C2,True
720575941352364336,73395768811781964,"[39386, 36302, 1731]",Tm5f,True
720575941352372528,73395768811831797,"[39027, 36447, 1747]",,False
720575941352401456,73254962805184937,"[36317, 33036, 2468]",,False
720575941352405552,73818462111333610,"[52644, 50245, 782]",MTe54,True
720575941352411440,73395631574053410,"[39992, 32024, 2464]",,False
720575941352427056,73184250597752325,"[33569, 23999, 2998]",L1,True
720575941352458800,74169550857747300,"[61975, 28340, 4453]",,False
720575941352460080,73325331951682281,"[38867, 33440, 3877]",Tm9,True
720575941352525872,73255100579760731,"[35192, 37953, 3777]",Mi9,True
720575941352556080,73325468585823181,"[37121, 38124, 990]",TmY10,True
720575941352580912,73325606159033237,"[38269, 41726, 1516]",Sm02,True
720575941352587056,73184731298647151,"[32939, 38239, 1710]",Tm20,True
720575941352598832,73254824829084320,"[35834, 29411, 488]",Mi4,True
720575941352612912,73325056469942287,"[38257, 25205, 1633]",T1,True
720575941352616240,74100006076404056,"[59854, 51236, 1968]",T5d,True
720575941352620080,73114362755845748,"[31175, 38730, 2484]",Tm4,True
720575941352632368,73325538042947829,"[37221, 39766, 3611]",,False
720575941352647728,73396044159547409,"[39730, 43134, 3556]",,False
720575941352651568,73255237817362920,"[36309, 41627, 3002]",Mi13,True
720575941352668208,73255237683316860,"[35550, 42626, 2545]",,False
720575941352669488,73184525274510811,"[32820, 30752, 2242]",Tm3,True
720575941352670768,73185006512087156,"[34324, 45634, 2975]",,False
720575941352676144,74381069004379280,"[68144, 40145, 2876]",MC64,False
720575941352678192,73044337541515951,"[28956, 48843, 2072]",Dm3v,True
720575941352694320,73324987549187201,"[38024, 23289, 1020]",Tm1,True
720575941352725808,73817981410931543,"[52667, 35938, 2193]",T2,True
720575941352735792,73184662982039022,"[34616, 36637, 3314]",Mi2,True
720575941352739888,73325331817917418,"[37824, 33546, 3533]",L5,True
720575941352751920,73044475047575778,"[29221, 53167, 2331]",L5,True
720575941352755504,73395906384439900,"[39712, 39810, 2063]",,False
720575941352775984,73395425147214193,"[40004, 25663, 1459]",,False
720575941352782640,73255718451006864,"[36768, 56652, 1447]",,False
720575941352804144,73536575086845681,"[43379, 38841, 2028]",TmY31,True
720575941352828464,73747544484241006,"[49491, 34065, 4276]",,False
720575941352911664,73818049862158611,"[51350, 37387, 1246]",,False
720575941352939312,73184387835195732,"[34207, 27018, 2114]",Mi15,True
720575941353013040,74099250161768210,"[61286, 29753, 1815]",,False
720575941353091632,74099250228896438,"[61276, 28984, 2076]",L5,True
720575941353107760,73887800466264697,"[53916, 20120, 2390]",T1,True
720575941353138736,73536574818443472,"[44485, 38276, 1018]",,False
720575941353152304,73747062977979022,"[50084, 19481, 2426]",Lawf2,True
720575941353396016,74099593759474421,"[60079, 39046, 1935]",T2,True
720575941353592880,74098975485568479,"[60892, 22283, 2706]",T1,True
720575941353593648,73606394343127862,"[46587, 22256, 2867]",L4,True
720575941353606960,73536987470316215,"[43730, 50476, 2115]",T3,True
720575941353613616,73888762069223736,"[53489, 47137, 636]",L5,True
720575941353634608,73396318231870952,"[39233, 51716, 414]",L3,True
720575941353641520,73043650413818589,"[30100, 27106, 2326]",L4,True
720575941353694256,73606669623886834,"[46550, 30172, 4478]",L1,True
720575941353699376,72973831157507139,"[28103, 43767, 1487]",R8,True
720575941353709360,74029705850409910,"[58130, 53721, 1209]",T4b,True
720575941353736752,73958924721921739,"[56583, 42103, 824]",L5,True
720575941353761328,73536437379010869,"[43496, 34478, 846]",R7,True
720575941353766448,74028812564419475,"[57940, 27935, 1487]",L3,True
720575941353807664,74099182046547985,"[59791, 27367, 4217]",L5,True
720575941353808176,73536369598948913,"[43185, 32565, 4400]",Mi1,True
720575941353839408,73958237930264637,"[56663, 20785, 2531]",Dm14,True
720575941353912368,73747131966325873,"[50183, 21128, 3582]",T1,True
720575941353990960,73254756646747923,"[35820, 27087, 2469]",Mi1,True
720575941354017328,73677380891865331,"[48558, 40657, 444]",Dm20,True
720575941354060592,74240262528102549,"[64672, 38869, 1840]",T2,True
720575941354063408,73536849628831487,"[43029, 45102, 611]",Mi4,True
720575941354063664,73958855935492138,"[56442, 38923, 613]",Tm1,True
720575941354066224,73114362352959306,"[32723, 38510, 868]",Mi9,True
720575941354087728,73465862744897934,"[42840, 27990, 1891]",,False
720575941354118960,73536506300120842,"[44191, 35648, 1726]",Sm07,True
720575941354119216,73959062161364703,"[56930, 46992, 1002]",Pm07,True
720575941354122544,74733256255734052,"[78733, 51140, 2695]",,False
720575941354139440,73676831471524279,"[48158, 23256, 1684]",MLt3,True
720575941354142256,74029225015085056,"[58620, 39274, 1855]",C3,True
720575941354149168,73607493385352021,"[46431, 53399, 1198]",,False
720575941354149424,73184593792533557,"[34560, 34000, 1432]",Dm15,True
720575941354161968,74310699925010061,"[65773, 39876, 1720]",C2,True
720575941354162480,73817981746474658,"[51253, 36186, 3476]",T2,True
720575941354162992,73606806794686061,"[46496, 34067, 3563]",TmY16,True
720575941354165808,72973693584040998,"[26842, 39352, 846]",TmY5a,True
720575941354167600,73606462861698971,"[46658, 24163, 2254]",Sm32,True
720575941354168368,73607424732781341,"[46386, 51392, 1390]",Tm27,True
720575941354168880,73677587452526796,"[47398, 46569, 1823]",T2a,True
720575941354177584,73466069373399271,"[41872, 33589, 3800]",,False
720575941354178608,74240400638309582,"[64263, 42081, 4462]",T5c,True
720575941354179376,74240056839479344,"[64265, 32257, 3657]",T4c,True
720575941354199088,73254894219937354,"[35411, 31077, 2981]",Tm4,True
720575941354199600,73114500395817003,"[31341, 42568, 3136]",Tm20,True
720575941354203184,73395425213988220,"[40023, 25979, 1567]",L2,True
720575941354219312,73255443438794907,"[35602, 48386, 906]",TmY11,True
720575941354226736,74028881887687212,"[58576, 29491, 3728]",,False
720575941354230576,73395837665349665,"[40771, 37073, 2189]",,False
720575941354231344,73325606359978605,"[36924, 42687, 2143]",Sm15,True
720575941354232624,73113950103033178,"[32353, 26513, 1191]",C3,True
720575941354232880,73958718630854982,"[57333, 35377, 1177]",,False
720575941354235952,73817569429289446,"[52223, 22869, 3353]",Dm3p,True
720575941354236720,73396043890838303,"[39130, 43218, 2438]",Pm03,True
720575941354240816,73818599684562751,"[51682, 53802, 1309]",Y12,True
720575941354242608,73677450147581921,"[47636, 41952, 2306]",TmY14,True
720575941354244912,73958650783494371,"[57193, 33014, 4397]",Sm19,True
720575941354251568,73466755829543559,"[41888, 55262, 834]",Tm20,True
720575941354265392,73817638082129304,"[51501, 24721, 3275]",Mi10,True
720575941391016964,73395768879128620,"[39805, 36476, 2047]",Sm05,True
720575941391018244,73959268588052852,"[56443, 51931, 1958]",Y11,True
720575941391024900,74241018375321888,"[64317, 60761, 1720]",T5c,True
720575941391039236,74169756882123865,"[61879, 34764, 3999]",Tm4,True
720575941391078404,73747269404910630,"[49934, 26603, 3469]",Tm2,True
720575941391104516,74522424700046957,"[71977, 59336, 2016]",,False
720575941391110660,73817913161130364,"[53074, 33638, 3950]",TmY11,True
720575941391126276,74099594363266210,"[60448, 38969, 4176]",T5a,True
720575941391130628,74311043387957902,"[66720, 49152, 1127]",Pm01,True
720575941391137028,73958719033215159,"[57270, 36281, 2602]",TmY14,True
720575941391151108,74239850479658367,"[64692, 25263, 2863]",,False
720575941391151620,73607150056109008,"[46311, 44517, 2124]",Pm01,True
720575941391154436,73747750239517655,"[49970, 40517, 2564]",T4b,True
720575941391172612,74029637533625581,"[57762, 51577, 2746]",Y3,True
720575941391178756,73748093502071233,"[50535, 49323, 1531]",T4d,True
720575941391183108,74733393694851963,"[78847, 54537, 2742]",Li17,True
720575941391210756,74169756613659932,"[63098, 33087, 2966]",T4c,True
720575941391212548,74028881351049810,"[58608, 29076, 1772]",Dm3p,True
720575941391213316,73958375301647387,"[56792, 26307, 2094]",Tm3,True
720575941391230212,73887800533725828,"[53954, 20061, 2786]",MLt1,True
720575941391233284,73958719100819176,"[56213, 34864, 3044]",T4c,True
720575941391237380,74029431643396943,"[57882, 45159, 3697]",Tm1,True
720575941391244548,73818050465963263,"[51586, 37279, 3490]",T4b,True
720575941391255556,74029500430350466,"[57544, 47755, 4085]",T5d,True
720575941391275780,74029225015031560,"[57667, 40638, 1827]",T4b,True
720575941391278084,74311249881798503,"[66519, 55963, 2357]",T5c,True
