root_id,type
720575941351164208,Dm2
720575941351169072,T4c
720575941351170352,Dm2
720575941351173424,T5b
720575941351174704,Tm2
720575941351178288,T4c
720575941351182640,TmY3
720575941351183664,Tm5f
720575941351188272,T5b
720575941351189040,LPi02
720575941351191344,T4c
720575941351191856,T5b
720575941351220784,Tm21
720575941351251248,T5a
720575941351260208,Dm3q
720575941351269936,Pm01
720575941351323440,T5a
720575941351325232,T4b
720575941351347760,Tm3
720575941351357232,Mi13
720575941351367984,Li01
720575941351369520,T4a
720575941351384112,T4d
720575941351387440,T5a
720575941351388464,T5c
720575941351390512,T4c
720575941351392048,T4b
720575941351393840,Dm2
720575941351394096,T4a
720575941351399728,T4b
720575941351408688,Mi2
720575941351427888,Dm3q
720575941351431216,Tm9
720575941351436336,Dm10
720575941351438384,T4b
720575941351444272,T4d
720575941351446576,Dm10
720575941351451184,Y11
720575941351478064,Mi9
720575941351504944,Mi4
720575941351511088,Mi4
720575941351629104,Dm3q
720575941351655984,T4b
720575941351666224,Mi9
720575941351681072,T5a
720575941351686192,Tm9
720575941351688240,Tm1
720575941351704624,T5c
720575941351711024,TmY3
720575941351711280,T4a
720575941351717168,T5b
720575941351775280,TmY3
720575941351775792,T5d
720575941351776560,T5a
720575941351784496,T1
720575941351833904,Y4
720575941351882544,Tm4
720575941351888688,Mi4
720575941351902256,Tm21
720575941352181040,Tm4
720575941352320560,Tm9
720575941352358960,C2
720575941352364336,Tm5f
720575941352427056,L1
720575941352460080,Tm9
720575941352525872,Mi9
720575941352544304,Tm9
720575941352556080,TmY10
720575941352580912,Sm02
720575941352587056,Tm20
720575941352598832,Mi4
720575941352612912,T1
720575941352616240,T5d
720575941352620080,Tm4
720575941352651568,Mi13
720575941352669488,Tm3
720575941352678192,Dm3v
720575941352694320,Tm1
720575941352725808,T2
720575941352735792,Mi2
720575941352739888,L5
720575941352751920,L5
720575941352804144,TmY31
720575941352939312,Mi15
720575941353091632,L5
720575941353107760,T1
720575941353152304,Lawf2
720575941353396016,T2
720575941353592880,T1
720575941353593648,L4
720575941353606960,T3
720575941353613616,L5
720575941353632048,R8
720575941353634608,L3
720575941353641520,L4
720575941353694256,L1
720575941353699376,R8
720575941353709360,T4b
720575941353728816,L1
720575941353736752,L5
720575941353761328,R7
720575941353766448,L3
720575941353807664,L5
720575941353808176,Mi1
720575941353839408,Dm14
720575941353883184,R7
720575941353912368,T1
720575941353990960,Mi1
720575941354017328,Dm20
720575941354060592,T2
720575941354063408,Mi4
720575941354063664,Tm1
720575941354066224,Mi9
720575941354092336,Li124_56
720575941354118960,Sm07
720575941354119216,Pm07
720575941354139440,MLt3
720575941354142256,C3
720575941354149424,Dm15
720575941354161968,C2
720575941354162480,T2
720575941354162992,TmY16
720575941354165808,TmY5a
720575941354167600,Sm32
720575941354168368,Tm27
720575941354168880,T2a
720575941354178608,T5c
720575941354179376,T4c
720575941354199088,Tm4
720575941354199600,Tm20
720575941354203184,L2
720575941354219312,TmY11
720575941354231344,Sm15
720575941354232624,C3
720575941354235952,Dm3p
720575941354236720,Pm03
720575941354240816,Y12
720575941354242608,TmY14
720575941354244912,Sm19
720575941354251568,Tm20
720575941354265392,Mi10
720575941391016964,Sm05
720575941391018244,Y11
720575941391024900,T5c
720575941391039236,Tm4
720575941391078404,Tm2
720575941391110660,TmY11
720575941391126276,T5a
720575941391130628,Pm01
720575941391137028,TmY14
720575941391151620,Pm01
720575941391154436,T4b
720575941391172612,Y3
720575941391178756,T4d
720575941391183108,Li17
720575941391210756,T4c
720575941391212548,Dm3p
720575941391213316,Tm3
720575941391226116,T5d
720575941391229188,T4d
720575941391230212,MLt1
720575941391233284,T4c
720575941391237380,Tm1
720575941391244548,T4b
720575941391255556,T5d
720575941391275780,T4b
720575941391278084,T5c
720575941391349252,Mi4
720575941391354116,T5d
720575941391385750,T4b
720575941391393174,T5c
720575941391408790,T5c
720575941391410582,T5b
720575941391416726,T4a
720575941391432598,T4d
720575941391433732,Mi1
720575941391444886,T4c
720575941391445910,T4c
720575941391446788,Tm2
720575941391451908,Mi15
720575941391458710,Mi9
720575941391460758,Mi13
720575941391465476,Dm3v
720575941391465732,Tm1
720575941391465988,TmY4
720575941391468292,Dm2
720575941391468438,Y12
720575941391476118,T4a
720575941391476886,Mi13
720575941391477910,T5d
720575941391478788,Tm9
720575941391484932,TmY9q
720575941391485078,T4c
720575941391489796,Tm1
720575941391491588,Tm9
720575941391491844,Sm15
720575941391492246,T5b
720575941391492758,T5c
720575941391498390,T5c
720575941391506582,T5a
720575941391509910,Tm2
720575941391511446,Dm3q
720575941391516420,Tm9
720575941391516932,T5d
720575941391517700,T5d
720575941391519894,Mi4
720575941391527684,Tm2
720575941391529476,T1
720575941391531670,T4a
720575941391537668,T4c
720575941391563926,TmY5a
720575941391564548,Tm4
720575941391568132,Dm4
720575941391572740,Tm2
720575941391572996,Tm3
720575941391580164,Y12
720575941391584150,Mi1
720575941391608580,T4b
720575941391630486,Mi13
720575941391648406,Tm9
720575941391652758,Tm3
720575941391655318,TmY4
720575941391665814,Tm1
720575941391678980,C3
720575941391679236,T4a
720575941391691268,T2
720575941391703446,Dm3q
720575941391723670,Tm1
720575941391736982,T4b
720575941391749380,Dm3v
720575941391996310,Tm1
720575941392001686,Mi15
720575941392019606,Mi13
720575941392049046,Dm3q
720575941392057238,T3
720575941392063126,Tm20
720575941392097686,T2a
720575941392134806,T5c
720575941392137366,Tm2
720575941392158102,Dm10
720575941392163734,Mi4
720575941392170134,Mi13
720575941392171926,T5b
720575941392176534,C3
720575941392210436,Mi15
720575941392240534,T2a
720575941392242180,Tm20
720575941392250006,T2
720575941392306582,T4a
720575941392321686,T3
720575941392332548,Dm3q
720575941392334852,Dm3q
720575941392353430,C3
720575941392358660,C2
720575941392405654,Tm2
720575941392408580,Y12
720575941392419844,T3
720575941392463620,Tm4
720575941392478468,TmY4
720575941392493060,Dm10
720575941392504836,Dm2
720575941392509188,T1
720575941392509700,Tm3
720575941392515076,Tm25
720575941392518916,T2
720575941392523268,T3
720575941392523780,T4a
720575941392613380,Mi15
720575941392615940,T2
720575941392616964,T1
720575941392663556,Mi2
720575941392737174,TmY4
720575941392851460,Tm5f
720575941392855446,Tm3
720575941392856580,L1
720575941392902806,Tm1
720575941392970902,Sm15
720575941392971926,T3
720575941393017750,Mi10
720575941393038998,T5d
720575941393057686,Tm5f
720575941393062806,Sm04
720575941393088662,Dm2
720575941393098134,Tm27
720575941393105302,T4b
720575941393150102,LMt1
720575941393156502,Mi2
720575941393173910,T4b
720575941393199364,Mi10
720575941393211798,Tm27
720575941393227414,Mi4
720575941393231510,TmY14
720575941393256086,Lawf2
720575941393282454,L4
720575941393284502,L3
720575941393309846,LPi02
720575941393325462,Mi9
720575941393335190,Dm3p
720575941393354646,T2
720575941393358742,Mi4
720575941393379844,L4
720575941393392644,L1
720575941393410454,L2
720575941393434884,L2
720575941393437188,R8
720575941393443332,L3
720575941393443588,L5
720575941393496324,R8
720575941393506710,C3
720575941393526276,L1
720575941393528836,L1
720575941393543684,T2a
720575941393544196,R7
720575941393544708,L3
720575941393558532,R8
720575941393723030,Sm32
720575941393732868,Tm1
720575941393769220,Mi10
720575941393778436,TmY16
720575941393787908,Tm3
720575941393803524,T5d
720575941393811204,TmY14
720575941393847300,Tm27
720575941393847812,T4c
720575941393852164,T2
720575941393856662,MLt1
720575941393886724,T5d
720575941393887748,TmY10
720575941393896196,C2
720575941393916932,C3
720575941393923076,L3
720575941393925124,Y11
720575941393983236,Mi1
720575941393988100,Tm3
720575941394016772,T1
720575941394020868,Li06
720575941394021124,Mi4
720575941394024196,TmY15
720575941394034948,LPi09
720575941394040836,Mi1
720575941394046980,TmY10
720575941394103190,Dm11
720575941394164118,T1
720575941394184598,Tm20
720575941394185878,L4
720575941394194838,L1
720575941394196886,L3
720575941394197398,L4
720575941394197654,R7
720575941394197910,R8
720575941394199702,L3
720575941394208406,T1
720575941394208662,L2
720575941394247062,Tm20
720575941394267542,L5
720575941394282646,L5
720575941394345622,L3
720575941394579606,Tm1
